book_id,book_title,language,speaker_id,section_id,section_number,section_title,playtime,audio_link,file_id
14877,Black Cat Vol. 01 No. 04 January 1896,English,11007,488629,1,"In Solomon's Caverns, by Charles Edward Barns",1279,https://www.archive.org/download/black_cat_01_04_2005_librivox/blackcat0104jan1896_1_various.mp3,blackcat0104jan1896_1_various
14879,"Grizzly, Our Greatest Wild Animal",English,17334,488662,1,Preface,249,https://www.archive.org/download/grizzlygreatestwildanimal_2402_librivox/grizzly_00_mills.mp3,grizzly_00_mills
14880,What Happened Then Stories,English,13140,488686,1,Introduction and Conditions Under Which Children May Read This Book,132,https://www.archive.org/download/whathappenedthen_2007_librivox/whathappenedthen_00_dyer.mp3,whathappenedthen_00_dyer
14881,Dreams Collection 2 - Stories and Poems,English,9872,488703,1,Life's Gifts by Olive Schreiner,103,https://www.archive.org/download/dream_collection_2_2009_librivox/dreamscollection02_01_various.mp3,dreamscollection02_01_various
14882,Andiron Tales,English,10995,488723,1,Tom and the Andirons,633,https://www.archive.org/download/andiron_tales_2003_librivox/andirontales_01_bangs.mp3,andirontales_01_bangs
14883,Legends of Saints and Sinners,English,12068,488733,1,Section 0: Introducction,1071,https://www.archive.org/download/legends_of_saints_2008_librivox/legendsofsaintssinners_00_hyde.mp3,legendsofsaintssinners_00_hyde
14884,Charwoman's Daughter,English,8463,488784,1,I. Chapters 1 and 2,857,https://www.archive.org/download/charwomans_daughter_2004_librivox/charwomansdaughter_01_stephens.mp3,charwomansdaughter_01_stephens
14885,Tale of Paddy Muskrat,English,13944,488814,1,Paddy's Little Joke,214,https://www.archive.org/download/paddymuskrat_2009_librivox/taleofpaddymuskrat_01_bailey.mp3,taleofpaddymuskrat_01_bailey
14886,"Thebaid, or The Brothers at War",English,12075,489155,1,Act 0 - Biographical Notice,1786,https://www.archive.org/download/thebaid_2004_librivox/thebaid_0_racine.mp3,thebaid_0_racine
14887,"Susan B. Anthony Rebel, Crusader, Humanitarian",English,13055,488893,1,Chapter 1 Quaker Heritage,2305,https://www.archive.org/download/susanbanthony_2004_librivox/susanbanthony_01_lutz.mp3,susanbanthony_01_lutz
14888,Mountebank,English,1255,488919,1,Chapter 1,1803,https://www.archive.org/download/the_mountebank_2005_librivox/mountebank_01_locke.mp3,mountebank_01_locke
14889,Kobzar of the Ukraine,English,6535,488956,1,Introduction,456,https://www.archive.org/download/kobzar_ukraine_2006_librivox/kobzar_00_shevchenko.mp3,kobzar_00_shevchenko
14890,Morn,English,8786,489003,1,Morn - Read by BK,82,https://www.archive.org/download/morn_2003.poem_librivox/morn_jackson_bk.mp3,morn_jackson_bk
14892,Villette (version 3),English,13710,489044,1,Bretton,1196,https://www.archive.org/download/villette_version_3_2202_librivox/villette_01_bronte.mp3,villette_01_bronte
14893,Push Of A Finger,English,5717,489119,1,Part 1,1625,https://www.archive.org/download/thepushofafinger_2006_librivox/pushofafinger_01_bester.mp3,pushofafinger_01_bester
14894,Quanta Cura & The Syllabus of Errors,English,4705,489123,1,Quanta Cura,1703,https://www.archive.org/download/quantacura_2003_librivox/quantacura_01_piusix.mp3,quantacura_01_piusix
14895,When They Were Girls,English,10244,489127,1,Editor's Introduction,247,https://www.archive.org/download/whentheyweregirls_2005_librivox/whentheyweregirls_00_moore.mp3,whentheyweregirls_00_moore
14896,Cloak (Version 2),English,5717,489152,1,"The Cloak, part 1",2525,https://www.archive.org/download/the_cloak_2003_librivox/thecloak_01_gogol.mp3,thecloak_01_gogol
14897,"Ingersoll on THOMAS PAINE, from the Works of Robert G. Ingersoll, Volume 1, Lecture 3",English,10996,489157,1,Section 1,1445,https://www.archive.org/download/ingersoll_on_thomas_paine_2003_librivox/ingersollv1thomaspaine_01_ingersoll.mp3,ingersollv1thomaspaine_01_ingersoll
14899,Kit and Kitty,English,13374,489168,1,Uncle Corny,323,https://www.archive.org/download/kit_and_kitty_2005_librivox/kitandkitty_01_blackmore.mp3,kitandkitty_01_blackmore
14900,War Flying by a Pilot,English,13661,489234,1,"The Development of an Idea - Preface, Opening Poem, and Introductory Section",919,https://www.archive.org/download/war_flying_2004_librivox/warflying_01_hutcheon.mp3,warflying_01_hutcheon
14901,Seven and Nine years Among the Camanches and Apaches: An Autobiography,English,13579,489264,1,Chapter 1,944,https://www.archive.org/download/camanchesandapaches_2009_librivox/apachesandcomanches_01_eastman.mp3,apachesandcomanches_01_eastman
14902,Nero,English,7879,489297,1,Ch 1,1773,https://www.archive.org/download/nero_2004_librivox/nero_01_abbott.mp3,nero_01_abbott
14903,Puss Junior and Robinson Crusoe,English,8425,489310,1,Jack Sprat,192,https://www.archive.org/download/pussjuniorrobinsoncrusoe_2005_librivox/pussjuniorcrusoe_01_cory.mp3,pussjuniorcrusoe_01_cory
14906,Mildred's Married Life,English,13798,489397,1,Chapter 1,453,https://www.archive.org/download/mildreds_married_life_2102_librivox/mildredsmarriedlife_01_finley.mp3,mildredsmarriedlife_01_finley
14907,Rural Magazine and Literary Evening Fire-Side Vol 1 No 1,English,8425,489424,1,Introduction,346,https://www.archive.org/download/ruralmagazinevol1no1_2007_librivox/ruralmagazinevol1no1_01_various.mp3,ruralmagazinevol1no1_01_various
14908,Mimic Life; or Before and Behind the Curtain,English,13852,489446,1,Preface,125,https://www.archive.org/download/mimic_life_2004_librivox/mimiclife_00_mowatt.mp3,mimiclife_00_mowatt
14909,Character,English,13889,489474,1,Ch 1a - Influence of Character,861,https://www.archive.org/download/character_2007_librivox/character_01_smiles.mp3,character_01_smiles
14911,Fanatics,English,13075,489553,1,LOVE AND POLITICS,505,https://www.archive.org/download/fanatics_2005_librivox/fanatics_01_dunbar.mp3,fanatics_01_dunbar
14912,History Of Sir Richard Calmady,English,92,489578,1,"Book 1, chapter 1",901,https://www.archive.org/download/historyofsirrichardcalmady_2012_librivox/historyofsirrichardcalmady_01_malet.mp3,historyofsirrichardcalmady_01_malet
14913,Last of the Hackdrivers,English,8786,489644,1,The Last of the Hackdrivers - Read by BK,164,https://www.archive.org/download/last_of_the_hackdrivers_2003.poem_librivox/hackdrivers_runyon_bk.mp3,hackdrivers_runyon_bk
14914,Dismissed,English,8786,489661,1,The Dismissed - Read by BK,212,https://www.archive.org/download/the_dismissed_2003.poem_librivox/dismissed_morris_bk.mp3,dismissed_morris_bk
14916,"World's Best Poetry, Volume 7: Descriptive and Narrative (Part 2)",English,11305,489698,1,"Adam and Eve: From 'Paradise Lost,' Book IV by John Milton",262,https://www.archive.org/download/worlds_best_poetry_7_2_2010_librivox/worldsbestpoetry7_2_001_various.mp3,worldsbestpoetry7_2_001_various
14917,Short Story Collection Vol. 086,English,8164,489816,1,Actress by Oscar Wilde,412,https://www.archive.org/download/ss086_2004_librivox/ss086_actress_rm.mp3,ss086_actress_rm
14918,"Genji Monogatari (The Tale of Genji, Version 2)",English,7756,489834,1,Introduction by the Translator,1080,https://www.archive.org/download/genji_monogatari_2008_librivox/genji_00_shikibu.mp3,genji_00_shikibu
14919,"Weird Tales, Volume 1",English,6249,489852,1,"The Cremona Violin, Part 1",2602,https://www.archive.org/download/weirdtales1_2004_librivox/weirdtales1_01_hoffmann.mp3,weirdtales1_01_hoffmann
14920,"Commentary on the Gospel of Luke, Sermons 12-25",English,8368,489866,1,"Sermon 12, part 1: Luke 4:1-14",1707,https://www.archive.org/download/commentaryonluke_sermons12-25_2004_librivox/commentaryonlukesermons12thru25_01_cyril.mp3,commentaryonlukesermons12thru25_01_cyril
14921,"Short Nonfiction Collection, Vol. 073",English,10244,489896,1,Broadway: New York's Backbone (1905),633,https://www.archive.org/download/nonfiction073_2004_librivox/snf073_broadway_osborne_bbs.mp3,snf073_broadway_osborne_bbs
14922,Round About a Great Estate,English,4856,489898,1,00 Preface,172,https://www.archive.org/download/round_about_estate_2003_librivox/greatestate_00_jefferies.mp3,greatestate_00_jefferies
14923,Short Science Fiction Collection 068,English,2628,489914,1,Accidental Death,1223,https://www.archive.org/download/short_science_fiction_068_2006_librivox/ssf068_01_various.mp3,ssf068_01_various
14924,Religion and Health,English,8425,489934,1,Introduction,789,https://www.archive.org/download/religion_health_2103_librivox/religionandhealth_00_walsh.mp3,religionandhealth_00_walsh
14925,"Ingersoll on VOLTAIRE, from the Works of Robert G. Ingersoll, Volume 3, Lecture 4",English,8463,489954,1,I. Introduction,1133,https://www.archive.org/download/ingersoll_on_voltaire_2004_librivox/ingersollv3voltaire_01_ingersoll.mp3,ingersollv3voltaire_01_ingersoll
14926,Queen of Appalachia,English,13895,489971,1,"Wanted, a Gentleman Correspondent",553,https://www.archive.org/download/queen_of_appalachia_2007_librivox/queenofappalachia_01_borders.mp3,queenofappalachia_01_borders
14927,Boy Scouts on Sturgeon Island,English,13972,490003,1,Out for a Royal Good Time,965,https://www.archive.org/download/boy_scouts_sturgeon_island_2101_librivox/boyscoutsonsturgeonisland_01_carter.mp3,boyscoutsonsturgeonisland_01_carter
14928,Arizona's Yesterday,English,7190,490031,1,Dedication & Preface,609,https://www.archive.org/download/arizonas_yesterday_2007_librivox/arizonasyesterday_00_cady.mp3,arizonasyesterday_00_cady
