segment_file,original_file,segment_index,duration
richcrooks_14_young_0007.mp3,richcrooks_14_young,7,28.25249433106576
richcrooks_03_young_0009.mp3,richcrooks_03_young,9,29.95045351473923
richcrooks_03_young_0008.mp3,richcrooks_03_young,8,26.815759637188208
richcrooks_03_young_0005.mp3,richcrooks_03_young,5,25.82310657596372
richcrooks_03_young_0007.mp3,richcrooks_03_young,7,29.976575963718822
richcrooks_03_young_0010.mp3,richcrooks_03_young,10,29.976575963718822
richcrooks_03_young_0011.mp3,richcrooks_03_young,11,27.730045351473922
salad_smith_bwc_0002.mp3,salad_smith_bwc,2,26.97249433106576
salad_smith_bwc_0000.mp3,salad_smith_bwc,0,24.83045351473923
restingwheel_wordsworth_el0_0000.mp3,restingwheel_wordsworth_el0,0,29.297392290249434
restingwheel_wordsworth_pfs_0001.mp3,restingwheel_wordsworth_pfs,1,29.976575963718822
salad_smith_bwc_0001.mp3,salad_smith_bwc,1,20.180657596371883
salad_smith_gysz_0000.mp3,salad_smith_gysz,0,28.67045351473923
restingwheel_wordsworth_el0_0001.mp3,restingwheel_wordsworth_el0,1,26.632902494331066
salad_smith_gysz_0001.mp3,salad_smith_gysz,1,27.364331065759636
richcrooks_02_young_0000.mp3,richcrooks_02_young,0,27.207596371882087
restingwheel_wordsworth_el0_0002.mp3,restingwheel_wordsworth_el0,2,25.222290249433108
restingwheel_wordsworth_pfs_0000.mp3,restingwheel_wordsworth_pfs,0,29.81984126984127
sacrifice_00_bavnick_0000.mp3,sacrifice_00_bavnick,0,27.96514739229025
richcrooks_02_young_0002.mp3,richcrooks_02_young,2,29.976575963718822
richcrooks_03_young_0012.mp3,richcrooks_03_young,12,28.85331065759637
richcrooks_02_young_0003.mp3,richcrooks_02_young,3,29.297392290249434
salad_smith_gysz_0002.mp3,salad_smith_gysz,2,26.528412698412698
sacrifice_00_bavnick_0003.mp3,sacrifice_00_bavnick,3,29.976575963718822
sacrifice_00_bavnick_0001.mp3,sacrifice_00_bavnick,1,24.177392290249433
richcrooks_02_young_0005.mp3,richcrooks_02_young,5,23.628820861678005
richcrooks_02_young_0004.mp3,richcrooks_02_young,4,29.4018820861678
sacrifice_00_bavnick_0002.mp3,sacrifice_00_bavnick,2,25.82310657596372
richcrooks_01_young_0000.mp3,richcrooks_01_young,0,29.14065759637188
richcrooks_07_young_0001.mp3,richcrooks_07_young,1,23.550453514739228
sacrifice_00_bavnick_0005.mp3,sacrifice_00_bavnick,5,29.689229024943312
sacrifice_00_bavnick_0004.mp3,sacrifice_00_bavnick,4,29.010045351473924
richcrooks_02_young_0001.mp3,richcrooks_02_young,1,29.976575963718822
sacrifice_00_bavnick_0006.mp3,sacrifice_00_bavnick,6,22.61004535147392
richcrooks_07_young_0000.mp3,richcrooks_07_young,0,29.53249433106576
sacrifice_00_bavnick_0007.mp3,sacrifice_00_bavnick,7,21.98310657596372
richcrooks_07_young_0002.mp3,richcrooks_07_young,2,26.711269841269843
richcrooks_07_young_0003.mp3,richcrooks_07_young,3,29.976575963718822
richcrooks_01_young_0001.mp3,richcrooks_01_young,1,29.166780045351473
sacrifice_00_bavnick_0008.mp3,sacrifice_00_bavnick,8,29.53249433106576
richcrooks_01_young_0002.mp3,richcrooks_01_young,2,26.241065759637188
richcrooks_07_young_0004.mp3,richcrooks_07_young,4,23.86392290249433
sacrifice_00_bavnick_0009.mp3,sacrifice_00_bavnick,9,23.47208616780045
richcrooks_07_young_0005.mp3,richcrooks_07_young,5,27.024739229024945
